movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20247417,밤마다 들리는 며느리의 신음소리,,2024,20240322,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248823,젖 큰 그녀의 골프레슨,,2024,20240320,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248527,두얼굴의 남편,,2024,20240320,장편,개봉,한국,"드라마,성인물(에로)",한국,드라마
20248547,이모 저 목욕 시켜주세요,BIJYUKUJYONONAKA-03,2022,20240318,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20248525,의붓여동생이랑 해버렸어요,GYARUIMOOTO,2022,20240318,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20248763,직장상사를 꼬셨는데 그의 아내와 눈이 맞다,YOBONIMISETEYARU-02,2022,20240328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20248748,섹꼽친구 : 속궁합이 아주 잘 맞아,TYOUHATUGAMASUMASU,2021,20240328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20247964,부르달락: 흡혈귀,The Vourdalak,2023,20240328,장편,개봉,프랑스,기타,프랑스,기타
20248100,드림쏭3,Rock Dog 3: Battle the Beat,2022,20240328,장편,개봉,미국,애니메이션,미국,애니메이션
20248762,내 아내는 인사부장의 1지명,DERIHERUMUSUME,2022,20240328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20248764,남편 대신 옆집 남자 : 제가 세워드릴게요,KOUKYUUSYANOONANA,2022,20240328,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20225870,검치호 ,Tiger's Trigger,2022,20240328,장편,개봉,한국,"액션,스릴러",한국,액션
20231459,탐정 말로,Marlowe,2022,20240321,장편,개봉,"아일랜드,미국","범죄,액션,스릴러",아일랜드,범죄
20247057,스와핑 ： 엄마와 딸 2,,2023,20240317,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20248204,현관에서 대홍수난 새엄마 유리아짱,,,20240315,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20248205,진한 수컷냄새에 환장한 엄마친구,,,20240315,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20248163,매혹적인 아래층 유부녀,,2023,20240314,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로)
20248482,MBTI E 정열섹스녀연주의첫경험-무삭제,,2023,20240313,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247599,헌팅 노래방 : 부킹 맛집,,2024,20240312,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20248124,쇼킹 마사지 샵 무삭제판,Attractive Massage Salon,2022,20240312,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20247403,완벽한 환승섹스,,2023,20240311,장편,개봉,한국,"드라마,성인물(에로)",한국,드라마
20247260,바람난 아내들,,2023,20240311,장편,개봉,한국,"드라마,성인물(에로)",한국,드라마
20247519,스와핑 : 형수와 제수씨,,2023,20240310,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20235957,형수와는 괜찮아 무삭제판,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20236155,커지는 걸 좋아하는 형수,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20247701,참을 수 없는 탐욕 무삭제판,,2023,20240308,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20236756,제수씨의 황제 VIP 서비스,,2023,20240308,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20236458,음탕 아내의 공유 성생활,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20236326,욕정의 노브라,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20236616,어디에 넣을 것인가,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20236354,성욕 탐한 음란형수,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20236615,상사 아내의 손맛,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20248469,그녀는 세워주는 동창 무삭제판,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20248468,그녀는 세워주는 동창,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20236477,거절할 수 없는 며느리,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
20236137,거부할 수 없는 절정 체험,,2023,20240308,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스
2024A461,스텝 업: 브레이킹,Breaking Point,2023,20240323,장편,개봉,영국,드라마,영국,드라마
20236714,극장판 스파이 패밀리 코드 : 화이트,SPY x FAMILY CODE: White,2023,20240320,장편,개봉,일본,애니메이션,일본,애니메이션
20248479,잠행,I Did It My Way,2023,20240327,장편,개봉,홍콩,"액션,범죄",홍콩,액션
20223125,세월: 라이프 고즈 온,Life Goes On,2024,20240327,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20247497,래빗스쿨 2: 부활절 대소동,Rabbit Academy: Mission Eggpossible,2022,20240327,장편,개봉,독일,애니메이션,독일,애니메이션
20048703,다운폴,The Downfall,2013,20240327,장편,개봉,독일,"전쟁,드라마",독일,전쟁
20248496,고질라 X 콩: 뉴 엠파이어,Godzilla X Kong: The New Empire,2024,20240327,장편,개봉,미국,"액션,어드벤처,SF",미국,액션
20248435,군인전문 여선배,,2024,20240306,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247823,며느리 친구들과 2대1,,2024,20240305,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20247821,100프로 예약제 여성전용 마사지샵의 비밀,,2024,20240304,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247838,엄마 말고 나랑 해줘 아저씨,,2024,20240304,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247600,쓰리썸 : 은밀한 제안,,2024,20240302,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20248473,피보다 진한 떡정의 최후,,2023,20240322,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248393,이승윤 콘서트 도킹 : 리프트오프,LEE SEUNG YOON CONCERT DOCKING : LIFTOFF,2024,20240322,장편,개봉,한국,공연,한국,공연
20249009,굶주린 과부 장모님의 한풀이 섹스,,2024,20240322,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로)
20248474,각기 다른 세 자매의 맛,,2024,20240322,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247565,리볼버 릴리,Revolver Lily ,2023,20240321,장편,개봉,일본,액션,일본,액션
20247799,남의 섹스 보며 젖어버린 여직원,,2024,20240321,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20225313,그날이 와버렸네,,2022,20240321,장편,개봉,한국,"드라마,코미디",한국,드라마
20247800,권태기 부부도 지려버린 본능적 섹스,,2024,20240321,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20247053,메이 디셈버,May December,2023,20240313,장편,개봉,미국,드라마,미국,드라마
20235458,머릿속을,In the head,2023,20240124,장편,개봉,한국,"드라마,전쟁",한국,드라마
20234242,조용한 이주,The Quiet Migration,2023,20240320,장편,개봉,덴마크,드라마,덴마크,드라마
20247573,왓츠 러브,What's Love Got to Do with It?,2022,20240320,장편,개봉,영국,"멜로/로맨스,드라마,코미디",영국,멜로/로맨스
20248335,에픽하이 20 더 무비,EPIK HIGH 20 THE MOVIE,2024,20240320,장편,개봉,한국,공연,한국,공연
20248783,미래를 위해 쑤시는 시아버지,,2023,20240320,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20236568,목스박,Holy Punch,2023,20240320,장편,개봉,한국,"액션,코미디",한국,액션
20248813,막힌 아래 뻥 뚫어주는 배관공 아저씨,,2023,20240320,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20247962,나이트 스윔,NIGHT SWIM,2024,20240320,장편,개봉,미국,공포(호러),미국,공포(호러)
20236556,"주사위놀이, 마불 세계여행",,2023,20240103,장편,개봉,한국,어드벤처,한국,어드벤처
20234619,로봇 드림,Robot Dreams,2023,20240313,장편,개봉,"스페인,프랑스",애니메이션,스페인,애니메이션
20247680,원 앤 온리,One and Only,2023,20240313,장편,개봉,중국,드라마,중국,드라마
